Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
Start running.
[99]: fg_loss: 1.8650, e_total_loss: 1.8788, e_dis_loss: 0.0000, d_total_loss: 0.0420, d_dis_loss: 0.0000, attack_loss: 0.0587
[199]: fg_loss: 1.5162, e_total_loss: 1.5649, e_dis_loss: 0.0000, d_total_loss: 0.0329, d_dis_loss: 0.0000, attack_loss: 0.0596
[299]: fg_loss: 1.3576, e_total_loss: 1.3726, e_dis_loss: 0.0000, d_total_loss: 0.0283, d_dis_loss: 0.0000, attack_loss: 0.0677
[399]: fg_loss: 1.2140, e_total_loss: 1.2568, e_dis_loss: 0.0000, d_total_loss: 0.0278, d_dis_loss: 0.0000, attack_loss: 0.0717
[499]: fg_loss: 1.1175, e_total_loss: 1.1461, e_dis_loss: 0.0000, d_total_loss: 0.0256, d_dis_loss: 0.0000, attack_loss: 0.0719
[599]: fg_loss: 1.0357, e_total_loss: 1.0575, e_dis_loss: 0.0000, d_total_loss: 0.0248, d_dis_loss: 0.0000, attack_loss: 0.0693
[699]: fg_loss: 0.9636, e_total_loss: 1.0043, e_dis_loss: 0.0000, d_total_loss: 0.0235, d_dis_loss: 0.0000, attack_loss: 0.0727
[799]: fg_loss: 0.8798, e_total_loss: 0.9751, e_dis_loss: 0.0000, d_total_loss: 0.0228, d_dis_loss: 0.0000, attack_loss: 0.0630
[899]: fg_loss: 0.8235, e_total_loss: 0.9022, e_dis_loss: 0.0000, d_total_loss: 0.0229, d_dis_loss: 0.0000, attack_loss: 0.0682
[999]: fg_loss: 0.7813, e_total_loss: 0.8688, e_dis_loss: 0.0000, d_total_loss: 0.0224, d_dis_loss: 0.0000, attack_loss: 0.0724
[1099]: fg_loss: 0.7021, e_total_loss: 0.8182, e_dis_loss: 0.0000, d_total_loss: 0.0223, d_dis_loss: 0.0000, attack_loss: 0.0697
[1199]: fg_loss: 0.6788, e_total_loss: 0.8040, e_dis_loss: 0.0000, d_total_loss: 0.0218, d_dis_loss: 0.0000, attack_loss: 0.0703
[1299]: fg_loss: 0.6357, e_total_loss: 0.7847, e_dis_loss: 0.0000, d_total_loss: 0.0217, d_dis_loss: 0.0000, attack_loss: 0.0700
[1399]: fg_loss: 0.6101, e_total_loss: 0.7491, e_dis_loss: 0.0000, d_total_loss: 0.0219, d_dis_loss: 0.0000, attack_loss: 0.0698
[1499]: fg_loss: 0.5690, e_total_loss: 0.7023, e_dis_loss: 0.0000, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0722
[1599]: fg_loss: 0.5346, e_total_loss: 0.6888, e_dis_loss: 0.0000, d_total_loss: 0.0210, d_dis_loss: 0.0000, attack_loss: 0.0716
[1699]: fg_loss: 0.5182, e_total_loss: 0.6783, e_dis_loss: 0.0000, d_total_loss: 0.0214, d_dis_loss: 0.0000, attack_loss: 0.0696
[1799]: fg_loss: 0.4754, e_total_loss: 0.6399, e_dis_loss: 0.0000, d_total_loss: 0.0204, d_dis_loss: 0.0000, attack_loss: 0.0686
[1899]: fg_loss: 0.4543, e_total_loss: 0.6233, e_dis_loss: 0.0000, d_total_loss: 0.0213, d_dis_loss: 0.0000, attack_loss: 0.0723
[1999]: fg_loss: 0.4246, e_total_loss: 0.5888, e_dis_loss: 0.0000, d_total_loss: 0.0200, d_dis_loss: 0.0000, attack_loss: 0.0747
[2099]: fg_loss: 0.4043, e_total_loss: 0.5807, e_dis_loss: 0.0000, d_total_loss: 0.0207, d_dis_loss: 0.0000, attack_loss: 0.0725
[2199]: fg_loss: 0.3668, e_total_loss: 0.5665, e_dis_loss: 0.0000, d_total_loss: 0.0206, d_dis_loss: 0.0000, attack_loss: 0.0709
[2299]: fg_loss: 0.3508, e_total_loss: 0.5296, e_dis_loss: 0.0000, d_total_loss: 0.0202, d_dis_loss: 0.0000, attack_loss: 0.0703
[2399]: fg_loss: 0.3194, e_total_loss: 0.5340, e_dis_loss: 0.0000, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0708
[2499]: fg_loss: 0.2893, e_total_loss: 0.5054, e_dis_loss: 0.0000, d_total_loss: 0.0202, d_dis_loss: 0.0000, attack_loss: 0.0681
[2599]: fg_loss: 0.2927, e_total_loss: 0.4798, e_dis_loss: 0.0000, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0694
[2699]: fg_loss: 0.2730, e_total_loss: 0.5036, e_dis_loss: 0.0000, d_total_loss: 0.0204, d_dis_loss: 0.0000, attack_loss: 0.0697
[2799]: fg_loss: 0.2473, e_total_loss: 0.4749, e_dis_loss: 0.0000, d_total_loss: 0.0202, d_dis_loss: 0.0000, attack_loss: 0.0685
[2899]: fg_loss: 0.2414, e_total_loss: 0.4455, e_dis_loss: 0.0000, d_total_loss: 0.0199, d_dis_loss: 0.0000, attack_loss: 0.0698
[2999]: fg_loss: 0.2079, e_total_loss: 0.4121, e_dis_loss: 0.0000, d_total_loss: 0.0195, d_dis_loss: 0.0000, attack_loss: 0.0701
[3099]: fg_loss: 0.2143, e_total_loss: 0.4116, e_dis_loss: 0.0000, d_total_loss: 0.0198, d_dis_loss: 0.0000, attack_loss: 0.0718
[3199]: fg_loss: 0.1836, e_total_loss: 0.4078, e_dis_loss: 0.0000, d_total_loss: 0.0195, d_dis_loss: 0.0000, attack_loss: 0.0721
[3299]: fg_loss: 0.1786, e_total_loss: 0.3902, e_dis_loss: 0.0000, d_total_loss: 0.0194, d_dis_loss: 0.0000, attack_loss: 0.0707
[3399]: fg_loss: 0.1643, e_total_loss: 0.3468, e_dis_loss: 0.0000, d_total_loss: 0.0191, d_dis_loss: 0.0000, attack_loss: 0.0714
[3499]: fg_loss: 0.1533, e_total_loss: 0.3403, e_dis_loss: 0.0000, d_total_loss: 0.0190, d_dis_loss: 0.0000, attack_loss: 0.0711
[3599]: fg_loss: 0.1557, e_total_loss: 0.3513, e_dis_loss: 0.0000, d_total_loss: 0.0193, d_dis_loss: 0.0000, attack_loss: 0.0722
[3699]: fg_loss: 0.1387, e_total_loss: 0.3210, e_dis_loss: 0.0000, d_total_loss: 0.0194, d_dis_loss: 0.0000, attack_loss: 0.0720
[3799]: fg_loss: 0.1279, e_total_loss: 0.2775, e_dis_loss: 0.0000, d_total_loss: 0.0194, d_dis_loss: 0.0000, attack_loss: 0.0695
[3899]: fg_loss: 0.1146, e_total_loss: 0.2904, e_dis_loss: 0.0000, d_total_loss: 0.0192, d_dis_loss: 0.0000, attack_loss: 0.0703
[3999]: fg_loss: 0.1141, e_total_loss: 0.2819, e_dis_loss: 0.0000, d_total_loss: 0.0192, d_dis_loss: 0.0000, attack_loss: 0.0722
[4099]: fg_loss: 0.1113, e_total_loss: 0.2618, e_dis_loss: 0.0000, d_total_loss: 0.0193, d_dis_loss: 0.0000, attack_loss: 0.0693
[4199]: fg_loss: 0.1150, e_total_loss: 0.2458, e_dis_loss: 0.0000, d_total_loss: 0.0189, d_dis_loss: 0.0000, attack_loss: 0.0723
[4299]: fg_loss: 0.1246, e_total_loss: 0.2577, e_dis_loss: 0.0000, d_total_loss: 0.0195, d_dis_loss: 0.0000, attack_loss: 0.0711
[4399]: fg_loss: 0.1171, e_total_loss: 0.2331, e_dis_loss: 0.0000, d_total_loss: 0.0191, d_dis_loss: 0.0000, attack_loss: 0.0692
[4499]: fg_loss: 0.0939, e_total_loss: 0.2299, e_dis_loss: 0.0000, d_total_loss: 0.0189, d_dis_loss: 0.0000, attack_loss: 0.0710
[4599]: fg_loss: 0.0908, e_total_loss: 0.2207, e_dis_loss: 0.0000, d_total_loss: 0.0192, d_dis_loss: 0.0000, attack_loss: 0.0680
[4699]: fg_loss: 0.0893, e_total_loss: 0.1991, e_dis_loss: 0.0000, d_total_loss: 0.0190, d_dis_loss: 0.0000, attack_loss: 0.0702
[4799]: fg_loss: 0.0908, e_total_loss: 0.2141, e_dis_loss: 0.0000, d_total_loss: 0.0190, d_dis_loss: 0.0000, attack_loss: 0.0721
[4899]: fg_loss: 0.0984, e_total_loss: 0.1981, e_dis_loss: 0.0000, d_total_loss: 0.0187, d_dis_loss: 0.0000, attack_loss: 0.0710
[4999]: fg_loss: 0.1023, e_total_loss: 0.2185, e_dis_loss: 0.0000, d_total_loss: 0.0192, d_dis_loss: 0.0000, attack_loss: 0.0732
[5099]: fg_loss: 0.0871, e_total_loss: 0.2012, e_dis_loss: 0.0000, d_total_loss: 0.0189, d_dis_loss: 0.0000, attack_loss: 0.0720
[5199]: fg_loss: 0.0850, e_total_loss: 0.1663, e_dis_loss: 0.0000, d_total_loss: 0.0187, d_dis_loss: 0.0000, attack_loss: 0.0693
[5299]: fg_loss: 0.0838, e_total_loss: 0.1584, e_dis_loss: 0.0000, d_total_loss: 0.0188, d_dis_loss: 0.0000, attack_loss: 0.0708
[5399]: fg_loss: 0.0785, e_total_loss: 0.1728, e_dis_loss: 0.0000, d_total_loss: 0.0184, d_dis_loss: 0.0000, attack_loss: 0.0746
