Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
Start running.
[99]: fg_loss: 1.6858, e_total_loss: 1.8646, e_dis_loss: 0.3152, d_total_loss: 0.0382, d_dis_loss: 0.0000, attack_loss: 0.0787
[199]: fg_loss: 1.3455, e_total_loss: 1.5447, e_dis_loss: 0.3362, d_total_loss: 0.0288, d_dis_loss: 0.0000, attack_loss: 0.0755
[299]: fg_loss: 1.1827, e_total_loss: 1.4010, e_dis_loss: 0.4986, d_total_loss: 0.0297, d_dis_loss: 0.0000, attack_loss: 0.0696
[399]: fg_loss: 1.0560, e_total_loss: 1.2775, e_dis_loss: 0.5643, d_total_loss: 0.0288, d_dis_loss: 0.0000, attack_loss: 0.0617
[499]: fg_loss: 0.9751, e_total_loss: 1.1959, e_dis_loss: 0.5159, d_total_loss: 0.0301, d_dis_loss: 0.0000, attack_loss: 0.0604
[599]: fg_loss: 0.8949, e_total_loss: 1.1293, e_dis_loss: 0.5891, d_total_loss: 0.0299, d_dis_loss: 0.0000, attack_loss: 0.0568
[699]: fg_loss: 0.8539, e_total_loss: 1.0798, e_dis_loss: 0.7203, d_total_loss: 0.0296, d_dis_loss: 0.0000, attack_loss: 0.0596
[799]: fg_loss: 0.7702, e_total_loss: 1.0249, e_dis_loss: 0.5936, d_total_loss: 0.0297, d_dis_loss: 0.0000, attack_loss: 0.0570
[899]: fg_loss: 0.7375, e_total_loss: 0.9592, e_dis_loss: 0.7486, d_total_loss: 0.0284, d_dis_loss: 0.0000, attack_loss: 0.0543
[999]: fg_loss: 0.6980, e_total_loss: 0.9310, e_dis_loss: 0.6360, d_total_loss: 0.0277, d_dis_loss: 0.0000, attack_loss: 0.0543
[1099]: fg_loss: 0.6291, e_total_loss: 0.8953, e_dis_loss: 0.5975, d_total_loss: 0.0267, d_dis_loss: 0.0000, attack_loss: 0.0526
[1199]: fg_loss: 0.6325, e_total_loss: 0.8627, e_dis_loss: 0.6350, d_total_loss: 0.0269, d_dis_loss: 0.0000, attack_loss: 0.0515
[1299]: fg_loss: 0.5633, e_total_loss: 0.8611, e_dis_loss: 0.5628, d_total_loss: 0.0257, d_dis_loss: 0.0000, attack_loss: 0.0476
[1399]: fg_loss: 0.5566, e_total_loss: 0.8444, e_dis_loss: 0.5987, d_total_loss: 0.0256, d_dis_loss: 0.0000, attack_loss: 0.0512
[1499]: fg_loss: 0.5200, e_total_loss: 0.8159, e_dis_loss: 0.5315, d_total_loss: 0.0251, d_dis_loss: 0.0000, attack_loss: 0.0513
