Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
Start running.
[99]: fg_loss: 1.7268, e_total_loss: 1.8479, e_dis_loss: 0.0000, d_total_loss: 0.0389, d_dis_loss: 0.0000, attack_loss: 0.0635
[199]: fg_loss: 1.3799, e_total_loss: 1.4819, e_dis_loss: 0.0000, d_total_loss: 0.0270, d_dis_loss: 0.0000, attack_loss: 0.0730
[299]: fg_loss: 1.2313, e_total_loss: 1.3253, e_dis_loss: 0.0000, d_total_loss: 0.0229, d_dis_loss: 0.0000, attack_loss: 0.0794
[399]: fg_loss: 1.1080, e_total_loss: 1.1973, e_dis_loss: 0.0000, d_total_loss: 0.0224, d_dis_loss: 0.0000, attack_loss: 0.0826
[499]: fg_loss: 1.0387, e_total_loss: 1.1209, e_dis_loss: 0.0000, d_total_loss: 0.0220, d_dis_loss: 0.0000, attack_loss: 0.0782
[599]: fg_loss: 0.9599, e_total_loss: 1.0415, e_dis_loss: 0.0000, d_total_loss: 0.0204, d_dis_loss: 0.0000, attack_loss: 0.0788
[699]: fg_loss: 0.9069, e_total_loss: 0.9779, e_dis_loss: 0.0000, d_total_loss: 0.0197, d_dis_loss: 0.0000, attack_loss: 0.0777
[799]: fg_loss: 0.8413, e_total_loss: 0.9443, e_dis_loss: 0.0000, d_total_loss: 0.0195, d_dis_loss: 0.0000, attack_loss: 0.0745
[899]: fg_loss: 0.7982, e_total_loss: 0.8783, e_dis_loss: 0.0000, d_total_loss: 0.0184, d_dis_loss: 0.0000, attack_loss: 0.0790
[999]: fg_loss: 0.7628, e_total_loss: 0.8551, e_dis_loss: 0.0000, d_total_loss: 0.0187, d_dis_loss: 0.0000, attack_loss: 0.0734
[1099]: fg_loss: 0.6931, e_total_loss: 0.8358, e_dis_loss: 0.0000, d_total_loss: 0.0186, d_dis_loss: 0.0000, attack_loss: 0.0805
[1199]: fg_loss: 0.6728, e_total_loss: 0.7842, e_dis_loss: 0.0000, d_total_loss: 0.0177, d_dis_loss: 0.0000, attack_loss: 0.0770
[1299]: fg_loss: 0.6281, e_total_loss: 0.7691, e_dis_loss: 0.0000, d_total_loss: 0.0178, d_dis_loss: 0.0000, attack_loss: 0.0787
[1399]: fg_loss: 0.6029, e_total_loss: 0.7299, e_dis_loss: 0.0000, d_total_loss: 0.0171, d_dis_loss: 0.0000, attack_loss: 0.0761
[1499]: fg_loss: 0.5567, e_total_loss: 0.7183, e_dis_loss: 0.0000, d_total_loss: 0.0171, d_dis_loss: 0.0000, attack_loss: 0.0742
[1599]: fg_loss: 0.5202, e_total_loss: 0.6558, e_dis_loss: 0.0000, d_total_loss: 0.0169, d_dis_loss: 0.0000, attack_loss: 0.0814
[1699]: fg_loss: 0.4984, e_total_loss: 0.6443, e_dis_loss: 0.0000, d_total_loss: 0.0170, d_dis_loss: 0.0000, attack_loss: 0.0748
[1799]: fg_loss: 0.4604, e_total_loss: 0.6348, e_dis_loss: 0.0000, d_total_loss: 0.0174, d_dis_loss: 0.0000, attack_loss: 0.0792
[1899]: fg_loss: 0.4467, e_total_loss: 0.5933, e_dis_loss: 0.0000, d_total_loss: 0.0164, d_dis_loss: 0.0000, attack_loss: 0.0764
[1999]: fg_loss: 0.4045, e_total_loss: 0.5984, e_dis_loss: 0.0000, d_total_loss: 0.0168, d_dis_loss: 0.0000, attack_loss: 0.0738
[2099]: fg_loss: 0.3830, e_total_loss: 0.5550, e_dis_loss: 0.0000, d_total_loss: 0.0162, d_dis_loss: 0.0000, attack_loss: 0.0783
[2199]: fg_loss: 0.3514, e_total_loss: 0.5633, e_dis_loss: 0.0000, d_total_loss: 0.0165, d_dis_loss: 0.0000, attack_loss: 0.0732
[2299]: fg_loss: 0.3410, e_total_loss: 0.5344, e_dis_loss: 0.0000, d_total_loss: 0.0167, d_dis_loss: 0.0000, attack_loss: 0.0764
[2399]: fg_loss: 0.3066, e_total_loss: 0.5082, e_dis_loss: 0.0000, d_total_loss: 0.0160, d_dis_loss: 0.0000, attack_loss: 0.0734
[2499]: fg_loss: 0.2783, e_total_loss: 0.4965, e_dis_loss: 0.0000, d_total_loss: 0.0169, d_dis_loss: 0.0000, attack_loss: 0.0704
[2599]: fg_loss: 0.2685, e_total_loss: 0.4907, e_dis_loss: 0.0000, d_total_loss: 0.0161, d_dis_loss: 0.0000, attack_loss: 0.0756
[2699]: fg_loss: 0.2617, e_total_loss: 0.4763, e_dis_loss: 0.0000, d_total_loss: 0.0167, d_dis_loss: 0.0000, attack_loss: 0.0702
[2799]: fg_loss: 0.2360, e_total_loss: 0.4437, e_dis_loss: 0.0000, d_total_loss: 0.0164, d_dis_loss: 0.0000, attack_loss: 0.0711
[2899]: fg_loss: 0.2180, e_total_loss: 0.4285, e_dis_loss: 0.0000, d_total_loss: 0.0158, d_dis_loss: 0.0000, attack_loss: 0.0663
[2999]: fg_loss: 0.2130, e_total_loss: 0.4374, e_dis_loss: 0.0000, d_total_loss: 0.0168, d_dis_loss: 0.0000, attack_loss: 0.0718
[3099]: fg_loss: 0.1783, e_total_loss: 0.4033, e_dis_loss: 0.0000, d_total_loss: 0.0161, d_dis_loss: 0.0000, attack_loss: 0.0679
[3199]: fg_loss: 0.1884, e_total_loss: 0.4164, e_dis_loss: 0.0000, d_total_loss: 0.0165, d_dis_loss: 0.0000, attack_loss: 0.0692
[3299]: fg_loss: 0.1849, e_total_loss: 0.3710, e_dis_loss: 0.0000, d_total_loss: 0.0161, d_dis_loss: 0.0000, attack_loss: 0.0691
[3399]: fg_loss: 0.1692, e_total_loss: 0.3359, e_dis_loss: 0.0000, d_total_loss: 0.0162, d_dis_loss: 0.0000, attack_loss: 0.0678
[3499]: fg_loss: 0.1480, e_total_loss: 0.3245, e_dis_loss: 0.0000, d_total_loss: 0.0165, d_dis_loss: 0.0000, attack_loss: 0.0706
[3599]: fg_loss: 0.1510, e_total_loss: 0.3257, e_dis_loss: 0.0000, d_total_loss: 0.0160, d_dis_loss: 0.0000, attack_loss: 0.0691
[3699]: fg_loss: 0.1442, e_total_loss: 0.3108, e_dis_loss: 0.0000, d_total_loss: 0.0165, d_dis_loss: 0.0000, attack_loss: 0.0690
[3799]: fg_loss: 0.1217, e_total_loss: 0.2880, e_dis_loss: 0.0000, d_total_loss: 0.0159, d_dis_loss: 0.0000, attack_loss: 0.0691
[3899]: fg_loss: 0.1111, e_total_loss: 0.3256, e_dis_loss: 0.0000, d_total_loss: 0.0162, d_dis_loss: 0.0000, attack_loss: 0.0692
[3999]: fg_loss: 0.1074, e_total_loss: 0.2568, e_dis_loss: 0.0000, d_total_loss: 0.0159, d_dis_loss: 0.0000, attack_loss: 0.0686
