Start vsl/resnet experiments on cifar10 at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'lambda1': 0.0, 'lambda2': 1e-05, 'e_dis_lr': 2e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.7547, e_total_loss: 1.8279, e_dis_loss: 0.0000, d_total_loss: 0.0385, d_dis_loss: 1.5369, attack_loss: 0.0609
[199]: fg_loss: 1.3958, e_total_loss: 1.4771, e_dis_loss: 0.0000, d_total_loss: 0.0282, d_dis_loss: 1.5541, attack_loss: 0.0646
[299]: fg_loss: 1.2324, e_total_loss: 1.2956, e_dis_loss: 0.0000, d_total_loss: 0.0243, d_dis_loss: 1.5318, attack_loss: 0.0712
[399]: fg_loss: 1.1166, e_total_loss: 1.1729, e_dis_loss: 0.0000, d_total_loss: 0.0245, d_dis_loss: 1.4978, attack_loss: 0.0700
[499]: fg_loss: 1.0320, e_total_loss: 1.0900, e_dis_loss: 0.0000, d_total_loss: 0.0237, d_dis_loss: 1.4690, attack_loss: 0.0726
[599]: fg_loss: 0.9492, e_total_loss: 1.0002, e_dis_loss: 0.0000, d_total_loss: 0.0222, d_dis_loss: 1.4962, attack_loss: 0.0723
[699]: fg_loss: 0.8974, e_total_loss: 0.9641, e_dis_loss: 0.0000, d_total_loss: 0.0225, d_dis_loss: 1.5101, attack_loss: 0.0731
[799]: fg_loss: 0.8248, e_total_loss: 0.9359, e_dis_loss: 0.0000, d_total_loss: 0.0219, d_dis_loss: 1.4787, attack_loss: 0.0742
[899]: fg_loss: 0.7812, e_total_loss: 0.8566, e_dis_loss: 0.0000, d_total_loss: 0.0220, d_dis_loss: 1.4996, attack_loss: 0.0759
[999]: fg_loss: 0.7314, e_total_loss: 0.8445, e_dis_loss: 0.0000, d_total_loss: 0.0216, d_dis_loss: 1.5070, attack_loss: 0.0729
[1099]: fg_loss: 0.6726, e_total_loss: 0.7945, e_dis_loss: 0.0000, d_total_loss: 0.0217, d_dis_loss: 1.4787, attack_loss: 0.0745
[1199]: fg_loss: 0.6543, e_total_loss: 0.7693, e_dis_loss: 0.0000, d_total_loss: 0.0214, d_dis_loss: 1.4839, attack_loss: 0.0747
[1299]: fg_loss: 0.6081, e_total_loss: 0.7549, e_dis_loss: 0.0000, d_total_loss: 0.0208, d_dis_loss: 1.4819, attack_loss: 0.0759
[1399]: fg_loss: 0.5826, e_total_loss: 0.7129, e_dis_loss: 0.0000, d_total_loss: 0.0206, d_dis_loss: 1.5019, attack_loss: 0.0717
[1499]: fg_loss: 0.5445, e_total_loss: 0.6807, e_dis_loss: 0.0000, d_total_loss: 0.0198, d_dis_loss: 1.5049, attack_loss: 0.0706
[1599]: fg_loss: 0.4986, e_total_loss: 0.6292, e_dis_loss: 0.0000, d_total_loss: 0.0204, d_dis_loss: 1.4897, attack_loss: 0.0744
[1699]: fg_loss: 0.4850, e_total_loss: 0.6524, e_dis_loss: 0.0000, d_total_loss: 0.0207, d_dis_loss: 1.4823, attack_loss: 0.0724
[1799]: fg_loss: 0.4440, e_total_loss: 0.5963, e_dis_loss: 0.0000, d_total_loss: 0.0204, d_dis_loss: 1.5086, attack_loss: 0.0710
[1899]: fg_loss: 0.4359, e_total_loss: 0.5899, e_dis_loss: 0.0000, d_total_loss: 0.0200, d_dis_loss: 1.4901, attack_loss: 0.0734
[1999]: fg_loss: 0.4027, e_total_loss: 0.5781, e_dis_loss: 0.0000, d_total_loss: 0.0200, d_dis_loss: 1.5053, attack_loss: 0.0729
[2099]: fg_loss: 0.3774, e_total_loss: 0.5586, e_dis_loss: 0.0000, d_total_loss: 0.0194, d_dis_loss: 1.4946, attack_loss: 0.0757
[2199]: fg_loss: 0.3488, e_total_loss: 0.5365, e_dis_loss: 0.0000, d_total_loss: 0.0192, d_dis_loss: 1.4980, attack_loss: 0.0741
[2299]: fg_loss: 0.3238, e_total_loss: 0.5168, e_dis_loss: 0.0000, d_total_loss: 0.0193, d_dis_loss: 1.5120, attack_loss: 0.0737
[2399]: fg_loss: 0.3108, e_total_loss: 0.5124, e_dis_loss: 0.0000, d_total_loss: 0.0194, d_dis_loss: 1.4904, attack_loss: 0.0725
[2499]: fg_loss: 0.2726, e_total_loss: 0.4743, e_dis_loss: 0.0000, d_total_loss: 0.0194, d_dis_loss: 1.4865, attack_loss: 0.0728
[2599]: fg_loss: 0.2621, e_total_loss: 0.4608, e_dis_loss: 0.0000, d_total_loss: 0.0191, d_dis_loss: 1.4927, attack_loss: 0.0725
[2699]: fg_loss: 0.2556, e_total_loss: 0.4560, e_dis_loss: 0.0000, d_total_loss: 0.0198, d_dis_loss: 1.5121, attack_loss: 0.0713
[2799]: fg_loss: 0.2329, e_total_loss: 0.4339, e_dis_loss: 0.0000, d_total_loss: 0.0191, d_dis_loss: 1.4992, attack_loss: 0.0705
[2899]: fg_loss: 0.2176, e_total_loss: 0.4161, e_dis_loss: 0.0000, d_total_loss: 0.0188, d_dis_loss: 1.4915, attack_loss: 0.0698
[2999]: fg_loss: 0.1978, e_total_loss: 0.3936, e_dis_loss: 0.0000, d_total_loss: 0.0189, d_dis_loss: 1.5265, attack_loss: 0.0717
[3099]: fg_loss: 0.1961, e_total_loss: 0.4217, e_dis_loss: 0.0000, d_total_loss: 0.0191, d_dis_loss: 1.4947, attack_loss: 0.0704
[3199]: fg_loss: 0.1761, e_total_loss: 0.3584, e_dis_loss: 0.0000, d_total_loss: 0.0187, d_dis_loss: 1.4953, attack_loss: 0.0686
[3299]: fg_loss: 0.1747, e_total_loss: 0.3785, e_dis_loss: 0.0000, d_total_loss: 0.0187, d_dis_loss: 1.5138, attack_loss: 0.0692
[3399]: fg_loss: 0.1586, e_total_loss: 0.3455, e_dis_loss: 0.0000, d_total_loss: 0.0187, d_dis_loss: 1.5067, attack_loss: 0.0685
[3499]: fg_loss: 0.1436, e_total_loss: 0.3199, e_dis_loss: 0.0000, d_total_loss: 0.0183, d_dis_loss: 1.5342, attack_loss: 0.0660
[3599]: fg_loss: 0.1494, e_total_loss: 0.3018, e_dis_loss: 0.0000, d_total_loss: 0.0180, d_dis_loss: 1.5167, attack_loss: 0.0670
[3699]: fg_loss: 0.1365, e_total_loss: 0.3145, e_dis_loss: 0.0000, d_total_loss: 0.0186, d_dis_loss: 1.5113, attack_loss: 0.0694
[3799]: fg_loss: 0.1316, e_total_loss: 0.2665, e_dis_loss: 0.0000, d_total_loss: 0.0181, d_dis_loss: 1.5072, attack_loss: 0.0687
[3899]: fg_loss: 0.1199, e_total_loss: 0.2848, e_dis_loss: 0.0000, d_total_loss: 0.0186, d_dis_loss: 1.5001, attack_loss: 0.0674
[3999]: fg_loss: 0.1115, e_total_loss: 0.2755, e_dis_loss: 0.0000, d_total_loss: 0.0176, d_dis_loss: 1.5038, attack_loss: 0.0676
[4099]: fg_loss: 0.1152, e_total_loss: 0.2893, e_dis_loss: 0.0000, d_total_loss: 0.0182, d_dis_loss: 1.5004, attack_loss: 0.0699
[4199]: fg_loss: 0.0978, e_total_loss: 0.2191, e_dis_loss: 0.0000, d_total_loss: 0.0177, d_dis_loss: 1.5066, attack_loss: 0.0675
[4299]: fg_loss: 0.1034, e_total_loss: 0.2367, e_dis_loss: 0.0000, d_total_loss: 0.0178, d_dis_loss: 1.5000, attack_loss: 0.0688
[4399]: fg_loss: 0.1031, e_total_loss: 0.2412, e_dis_loss: 0.0000, d_total_loss: 0.0175, d_dis_loss: 1.4659, attack_loss: 0.0669
[4499]: fg_loss: 0.0943, e_total_loss: 0.2153, e_dis_loss: 0.0000, d_total_loss: 0.0176, d_dis_loss: 1.4865, attack_loss: 0.0684
[4599]: fg_loss: 0.0882, e_total_loss: 0.1825, e_dis_loss: 0.0000, d_total_loss: 0.0176, d_dis_loss: 1.4588, attack_loss: 0.0693
[4699]: fg_loss: 0.0851, e_total_loss: 0.2076, e_dis_loss: 0.0000, d_total_loss: 0.0173, d_dis_loss: 1.4798, attack_loss: 0.0661
[4799]: fg_loss: 0.1033, e_total_loss: 0.2300, e_dis_loss: 0.0000, d_total_loss: 0.0176, d_dis_loss: 1.4492, attack_loss: 0.0672
