Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.0}
Start running.
[99]: fg_loss: 1.7344, e_total_loss: 1.8852, e_dis_loss: 0.3956, d_total_loss: 0.0424, d_dis_loss: 1.4842, attack_loss: 0.0815, label_acc: 0.1173
[199]: fg_loss: 1.3346, e_total_loss: 1.5765, e_dis_loss: 0.3674, d_total_loss: 0.0342, d_dis_loss: 1.4894, attack_loss: 0.0900, label_acc: 0.1074
[299]: fg_loss: 1.1982, e_total_loss: 1.4392, e_dis_loss: 0.4055, d_total_loss: 0.0335, d_dis_loss: 1.4918, attack_loss: 0.0712, label_acc: 0.1062
[399]: fg_loss: 1.0666, e_total_loss: 1.3578, e_dis_loss: 0.3523, d_total_loss: 0.0325, d_dis_loss: 1.3750, attack_loss: 0.0831, label_acc: 0.1016
[499]: fg_loss: 1.0022, e_total_loss: 1.2866, e_dis_loss: 0.3849, d_total_loss: 0.0331, d_dis_loss: 1.4994, attack_loss: 0.0721, label_acc: 0.1231
[599]: fg_loss: 0.9324, e_total_loss: 1.2116, e_dis_loss: 0.3477, d_total_loss: 0.0327, d_dis_loss: 1.4562, attack_loss: 0.0770, label_acc: 0.1283
[699]: fg_loss: 0.8713, e_total_loss: 1.1678, e_dis_loss: 0.2614, d_total_loss: 0.0308, d_dis_loss: 1.4394, attack_loss: 0.0720, label_acc: 0.1434
[799]: fg_loss: 0.8166, e_total_loss: 1.1341, e_dis_loss: 0.2182, d_total_loss: 0.0299, d_dis_loss: 1.4853, attack_loss: 0.0729, label_acc: 0.1595
[899]: fg_loss: 0.7793, e_total_loss: 1.1062, e_dis_loss: 0.2389, d_total_loss: 0.0301, d_dis_loss: 1.5038, attack_loss: 0.0742, label_acc: 0.1593
[999]: fg_loss: 0.7362, e_total_loss: 1.0910, e_dis_loss: 0.2340, d_total_loss: 0.0307, d_dis_loss: 1.5157, attack_loss: 0.0652, label_acc: 0.1562
[1099]: fg_loss: 0.6771, e_total_loss: 1.0537, e_dis_loss: 0.2809, d_total_loss: 0.0317, d_dis_loss: 1.4864, attack_loss: 0.0783, label_acc: 0.1775
[1199]: fg_loss: 0.6530, e_total_loss: 1.0309, e_dis_loss: 0.3036, d_total_loss: 0.0327, d_dis_loss: 1.4165, attack_loss: 0.0744, label_acc: 0.1855
[1299]: fg_loss: 0.6215, e_total_loss: 1.0513, e_dis_loss: 0.2810, d_total_loss: 0.0327, d_dis_loss: 1.5140, attack_loss: 0.0703, label_acc: 0.1973
[1399]: fg_loss: 0.5996, e_total_loss: 0.9813, e_dis_loss: 0.2468, d_total_loss: 0.0317, d_dis_loss: 1.5086, attack_loss: 0.0687, label_acc: 0.2001
[1499]: fg_loss: 0.5406, e_total_loss: 0.9813, e_dis_loss: 0.2580, d_total_loss: 0.0316, d_dis_loss: 1.4401, attack_loss: 0.0699, label_acc: 0.2214
[1599]: fg_loss: 0.5215, e_total_loss: 0.9618, e_dis_loss: 0.2409, d_total_loss: 0.0317, d_dis_loss: 1.5260, attack_loss: 0.0741, label_acc: 0.2048
[1699]: fg_loss: 0.4984, e_total_loss: 0.9392, e_dis_loss: 0.2383, d_total_loss: 0.0325, d_dis_loss: 1.4723, attack_loss: 0.0702, label_acc: 0.2245
[1799]: fg_loss: 0.4556, e_total_loss: 0.9216, e_dis_loss: 0.2338, d_total_loss: 0.0327, d_dis_loss: 1.4756, attack_loss: 0.0732, label_acc: 0.2302
[1899]: fg_loss: 0.4382, e_total_loss: 0.9270, e_dis_loss: 0.2395, d_total_loss: 0.0329, d_dis_loss: 1.4766, attack_loss: 0.0741, label_acc: 0.2298
[1999]: fg_loss: 0.3975, e_total_loss: 0.9107, e_dis_loss: 0.2521, d_total_loss: 0.0327, d_dis_loss: 1.5141, attack_loss: 0.0753, label_acc: 0.2320
[2099]: fg_loss: 0.3980, e_total_loss: 0.8851, e_dis_loss: 0.2273, d_total_loss: 0.0329, d_dis_loss: 1.5430, attack_loss: 0.0705, label_acc: 0.2437
[2199]: fg_loss: 0.3465, e_total_loss: 0.8847, e_dis_loss: 0.2113, d_total_loss: 0.0323, d_dis_loss: 1.4651, attack_loss: 0.0676, label_acc: 0.2509
[2299]: fg_loss: 0.3396, e_total_loss: 0.8624, e_dis_loss: 0.2450, d_total_loss: 0.0319, d_dis_loss: 1.4502, attack_loss: 0.0616, label_acc: 0.2450
[2399]: fg_loss: 0.3135, e_total_loss: 0.8482, e_dis_loss: 0.2746, d_total_loss: 0.0334, d_dis_loss: 1.5062, attack_loss: 0.0621, label_acc: 0.2566
[2499]: fg_loss: 0.2864, e_total_loss: 0.8533, e_dis_loss: 0.2475, d_total_loss: 0.0336, d_dis_loss: 1.4317, attack_loss: 0.0613, label_acc: 0.2691
[2599]: fg_loss: 0.2898, e_total_loss: 0.8456, e_dis_loss: 0.2155, d_total_loss: 0.0332, d_dis_loss: 1.4188, attack_loss: 0.0659, label_acc: 0.2783
[2699]: fg_loss: 0.2539, e_total_loss: 0.8219, e_dis_loss: 0.2307, d_total_loss: 0.0327, d_dis_loss: 1.4655, attack_loss: 0.0633, label_acc: 0.2971
[2799]: fg_loss: 0.2388, e_total_loss: 0.7978, e_dis_loss: 0.2420, d_total_loss: 0.0318, d_dis_loss: 1.4488, attack_loss: 0.0660, label_acc: 0.2954
[2899]: fg_loss: 0.2203, e_total_loss: 0.8013, e_dis_loss: 0.1931, d_total_loss: 0.0325, d_dis_loss: 1.5036, attack_loss: 0.0589, label_acc: 0.2994
[2999]: fg_loss: 0.2138, e_total_loss: 0.7703, e_dis_loss: 0.1833, d_total_loss: 0.0316, d_dis_loss: 1.4877, attack_loss: 0.0617, label_acc: 0.2940
[3099]: fg_loss: 0.1909, e_total_loss: 0.7661, e_dis_loss: 0.2197, d_total_loss: 0.0324, d_dis_loss: 1.4735, attack_loss: 0.0681, label_acc: 0.2927
[3199]: fg_loss: 0.1647, e_total_loss: 0.7458, e_dis_loss: 0.1936, d_total_loss: 0.0318, d_dis_loss: 1.4769, attack_loss: 0.0543, label_acc: 0.3139
[3299]: fg_loss: 0.1897, e_total_loss: 0.7577, e_dis_loss: 0.1851, d_total_loss: 0.0313, d_dis_loss: 1.4443, attack_loss: 0.0532, label_acc: 0.3073
[3399]: fg_loss: 0.1546, e_total_loss: 0.7434, e_dis_loss: 0.2097, d_total_loss: 0.0318, d_dis_loss: 1.4910, attack_loss: 0.0587, label_acc: 0.3161
[3499]: fg_loss: 0.1566, e_total_loss: 0.6998, e_dis_loss: 0.2065, d_total_loss: 0.0328, d_dis_loss: 1.4573, attack_loss: 0.0539, label_acc: 0.3113
[3599]: fg_loss: 0.1419, e_total_loss: 0.7134, e_dis_loss: 0.2234, d_total_loss: 0.0322, d_dis_loss: 1.4884, attack_loss: 0.0545, label_acc: 0.3378
[3699]: fg_loss: 0.1385, e_total_loss: 0.6964, e_dis_loss: 0.1957, d_total_loss: 0.0315, d_dis_loss: 1.4822, attack_loss: 0.0579, label_acc: 0.3195
[3799]: fg_loss: 0.1218, e_total_loss: 0.7122, e_dis_loss: 0.1884, d_total_loss: 0.0314, d_dis_loss: 1.4678, attack_loss: 0.0519, label_acc: 0.3276
[3899]: fg_loss: 0.1286, e_total_loss: 0.6837, e_dis_loss: 0.1846, d_total_loss: 0.0307, d_dis_loss: 1.4387, attack_loss: 0.0553, label_acc: 0.3298
[3999]: fg_loss: 0.1369, e_total_loss: 0.6734, e_dis_loss: 0.1950, d_total_loss: 0.0306, d_dis_loss: 1.4544, attack_loss: 0.0564, label_acc: 0.3275
[4099]: fg_loss: 0.1157, e_total_loss: 0.6762, e_dis_loss: 0.1919, d_total_loss: 0.0313, d_dis_loss: 1.4815, attack_loss: 0.0512, label_acc: 0.3330
[4199]: fg_loss: 0.0973, e_total_loss: 0.6730, e_dis_loss: 0.1991, d_total_loss: 0.0312, d_dis_loss: 1.4478, attack_loss: 0.0513, label_acc: 0.3502
[4299]: fg_loss: 0.1191, e_total_loss: 0.6854, e_dis_loss: 0.2137, d_total_loss: 0.0313, d_dis_loss: 1.4702, attack_loss: 0.0495, label_acc: 0.3556
[4399]: fg_loss: 0.1082, e_total_loss: 0.6423, e_dis_loss: 0.1940, d_total_loss: 0.0304, d_dis_loss: 1.4434, attack_loss: 0.0506, label_acc: 0.3622
