Start usl/plainnet experiments on cifar10 at l4 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.1, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.8461, e_total_loss: 2.3457, e_dis_loss: 0.6740, d_total_loss: 0.0596, d_dis_loss: 1.4394, attack_loss: 0.0711, label_acc: 0.1328
[199]: fg_loss: 1.5372, e_total_loss: 2.1577, e_dis_loss: 0.6289, d_total_loss: 0.0500, d_dis_loss: 1.4032, attack_loss: 0.0646, label_acc: 0.2359
[299]: fg_loss: 1.3898, e_total_loss: 2.1239, e_dis_loss: 0.5331, d_total_loss: 0.0485, d_dis_loss: 1.4591, attack_loss: 0.0573, label_acc: 0.3121
[399]: fg_loss: 1.2553, e_total_loss: 2.0532, e_dis_loss: 0.6107, d_total_loss: 0.0463, d_dis_loss: 1.4843, attack_loss: 0.0548, label_acc: 0.3870
[499]: fg_loss: 1.1748, e_total_loss: 2.0038, e_dis_loss: 0.5266, d_total_loss: 0.0456, d_dis_loss: 1.4630, attack_loss: 0.0534, label_acc: 0.4638
[599]: fg_loss: 1.0929, e_total_loss: 1.9705, e_dis_loss: 0.3803, d_total_loss: 0.0422, d_dis_loss: 1.4827, attack_loss: 0.0506, label_acc: 0.5343
[699]: fg_loss: 1.0380, e_total_loss: 1.9131, e_dis_loss: 0.3987, d_total_loss: 0.0439, d_dis_loss: 1.4689, attack_loss: 0.0499, label_acc: 0.5568
[799]: fg_loss: 0.9638, e_total_loss: 1.8751, e_dis_loss: 0.2897, d_total_loss: 0.0441, d_dis_loss: 1.4504, attack_loss: 0.0492, label_acc: 0.6077
[899]: fg_loss: 0.9172, e_total_loss: 1.8086, e_dis_loss: 0.3932, d_total_loss: 0.0441, d_dis_loss: 1.4483, attack_loss: 0.0479, label_acc: 0.6283
[999]: fg_loss: 0.8797, e_total_loss: 1.7644, e_dis_loss: 0.3776, d_total_loss: 0.0449, d_dis_loss: 1.4573, attack_loss: 0.0485, label_acc: 0.6570
[1099]: fg_loss: 0.8152, e_total_loss: 1.7559, e_dis_loss: 0.2507, d_total_loss: 0.0434, d_dis_loss: 1.4633, attack_loss: 0.0470, label_acc: 0.6741
[1199]: fg_loss: 0.7886, e_total_loss: 1.6585, e_dis_loss: 0.3267, d_total_loss: 0.0419, d_dis_loss: 1.4451, attack_loss: 0.0451, label_acc: 0.6920
[1299]: fg_loss: 0.7545, e_total_loss: 1.6686, e_dis_loss: 0.2651, d_total_loss: 0.0404, d_dis_loss: 1.4513, attack_loss: 0.0442, label_acc: 0.7158
[1399]: fg_loss: 0.7165, e_total_loss: 1.6442, e_dis_loss: 0.3605, d_total_loss: 0.0389, d_dis_loss: 1.4431, attack_loss: 0.0415, label_acc: 0.7115
[1499]: fg_loss: 0.6948, e_total_loss: 1.6184, e_dis_loss: 0.3432, d_total_loss: 0.0383, d_dis_loss: 1.4438, attack_loss: 0.0417, label_acc: 0.7280
[1599]: fg_loss: 0.6505, e_total_loss: 1.5739, e_dis_loss: 0.3669, d_total_loss: 0.0371, d_dis_loss: 1.4411, attack_loss: 0.0421, label_acc: 0.7438
[1699]: fg_loss: 0.6403, e_total_loss: 1.5733, e_dis_loss: 0.3407, d_total_loss: 0.0387, d_dis_loss: 1.4543, attack_loss: 0.0404, label_acc: 0.7655
[1799]: fg_loss: 0.5907, e_total_loss: 1.5158, e_dis_loss: 0.3546, d_total_loss: 0.0406, d_dis_loss: 1.4286, attack_loss: 0.0401, label_acc: 0.7680
[1899]: fg_loss: 0.5809, e_total_loss: 1.5206, e_dis_loss: 0.3544, d_total_loss: 0.0368, d_dis_loss: 1.4571, attack_loss: 0.0400, label_acc: 0.7831
[1999]: fg_loss: 0.5602, e_total_loss: 1.4829, e_dis_loss: 0.3265, d_total_loss: 0.0332, d_dis_loss: 1.4313, attack_loss: 0.0392, label_acc: 0.8017
[2099]: fg_loss: 0.5466, e_total_loss: 1.4801, e_dis_loss: 0.3606, d_total_loss: 0.0352, d_dis_loss: 1.4390, attack_loss: 0.0394, label_acc: 0.7919
[2199]: fg_loss: 0.5216, e_total_loss: 1.4953, e_dis_loss: 0.2435, d_total_loss: 0.0349, d_dis_loss: 1.4407, attack_loss: 0.0375, label_acc: 0.8005
[2299]: fg_loss: 0.4913, e_total_loss: 1.4725, e_dis_loss: 0.4146, d_total_loss: 0.0361, d_dis_loss: 1.4355, attack_loss: 0.0379, label_acc: 0.8166
[2399]: fg_loss: 0.4854, e_total_loss: 1.4377, e_dis_loss: 0.3478, d_total_loss: 0.0361, d_dis_loss: 1.4276, attack_loss: 0.0360, label_acc: 0.8216
[2499]: fg_loss: 0.4350, e_total_loss: 1.4284, e_dis_loss: 0.3280, d_total_loss: 0.0325, d_dis_loss: 1.4409, attack_loss: 0.0343, label_acc: 0.8405
[2599]: fg_loss: 0.4539, e_total_loss: 1.4482, e_dis_loss: 0.4140, d_total_loss: 0.0320, d_dis_loss: 1.4692, attack_loss: 0.0352, label_acc: 0.8345
[2699]: fg_loss: 0.4312, e_total_loss: 1.5159, e_dis_loss: 0.3412, d_total_loss: 0.0371, d_dis_loss: 1.4543, attack_loss: 0.0361, label_acc: 0.8311
[2799]: fg_loss: 0.3953, e_total_loss: 1.4801, e_dis_loss: 0.3014, d_total_loss: 0.0318, d_dis_loss: 1.4423, attack_loss: 0.0356, label_acc: 0.8368
[2899]: fg_loss: 0.3900, e_total_loss: 1.4001, e_dis_loss: 0.3249, d_total_loss: 0.0296, d_dis_loss: 1.4185, attack_loss: 0.0342, label_acc: 0.8593
[2999]: fg_loss: 0.3583, e_total_loss: 1.4201, e_dis_loss: 0.3122, d_total_loss: 0.0308, d_dis_loss: 1.4490, attack_loss: 0.0341, label_acc: 0.8669
[3099]: fg_loss: 0.3577, e_total_loss: 1.4681, e_dis_loss: 0.3521, d_total_loss: 0.0321, d_dis_loss: 1.4525, attack_loss: 0.0329, label_acc: 0.8564
[3199]: fg_loss: 0.3374, e_total_loss: 1.4082, e_dis_loss: 0.3559, d_total_loss: 0.0323, d_dis_loss: 1.4362, attack_loss: 0.0340, label_acc: 0.8680
[3299]: fg_loss: 0.3312, e_total_loss: 1.4169, e_dis_loss: 0.3942, d_total_loss: 0.0308, d_dis_loss: 1.4609, attack_loss: 0.0337, label_acc: 0.8730
[3399]: fg_loss: 0.3173, e_total_loss: 1.4119, e_dis_loss: 0.3570, d_total_loss: 0.0313, d_dis_loss: 1.4306, attack_loss: 0.0341, label_acc: 0.8602
[3499]: fg_loss: 0.2952, e_total_loss: 1.4016, e_dis_loss: 0.3809, d_total_loss: 0.0303, d_dis_loss: 1.4706, attack_loss: 0.0312, label_acc: 0.8748
[3599]: fg_loss: 0.2960, e_total_loss: 1.3930, e_dis_loss: 0.3741, d_total_loss: 0.0308, d_dis_loss: 1.4856, attack_loss: 0.0319, label_acc: 0.8954
[3699]: fg_loss: 0.2609, e_total_loss: 1.3868, e_dis_loss: 0.4107, d_total_loss: 0.0302, d_dis_loss: 1.4525, attack_loss: 0.0334, label_acc: 0.9055
[3799]: fg_loss: 0.2690, e_total_loss: 1.3709, e_dis_loss: 0.4631, d_total_loss: 0.0302, d_dis_loss: 1.4438, attack_loss: 0.0334, label_acc: 0.9031
[3899]: fg_loss: 0.2546, e_total_loss: 1.3562, e_dis_loss: 0.4175, d_total_loss: 0.0292, d_dis_loss: 1.4309, attack_loss: 0.0340, label_acc: 0.8983
[3999]: fg_loss: 0.2345, e_total_loss: 1.3499, e_dis_loss: 0.3567, d_total_loss: 0.0297, d_dis_loss: 1.4560, attack_loss: 0.0333, label_acc: 0.9198
[4099]: fg_loss: 0.2353, e_total_loss: 1.3453, e_dis_loss: 0.5142, d_total_loss: 0.0284, d_dis_loss: 1.4554, attack_loss: 0.0324, label_acc: 0.9157
[4199]: fg_loss: 0.2179, e_total_loss: 1.3546, e_dis_loss: 0.3763, d_total_loss: 0.0293, d_dis_loss: 1.4576, attack_loss: 0.0320, label_acc: 0.9054
[4299]: fg_loss: 0.2151, e_total_loss: 1.3529, e_dis_loss: 0.2942, d_total_loss: 0.0279, d_dis_loss: 1.4474, attack_loss: 0.0318, label_acc: 0.9143
[4399]: fg_loss: 0.2048, e_total_loss: 1.3414, e_dis_loss: 0.3499, d_total_loss: 0.0280, d_dis_loss: 1.4465, attack_loss: 0.0331, label_acc: 0.9202
[4499]: fg_loss: 0.2072, e_total_loss: 1.3668, e_dis_loss: 0.3970, d_total_loss: 0.0273, d_dis_loss: 1.4462, attack_loss: 0.0305, label_acc: 0.9138
[4599]: fg_loss: 0.1988, e_total_loss: 1.3411, e_dis_loss: 0.3518, d_total_loss: 0.0259, d_dis_loss: 1.4607, attack_loss: 0.0297, label_acc: 0.9184
[4699]: fg_loss: 0.1620, e_total_loss: 1.3112, e_dis_loss: 0.3816, d_total_loss: 0.0271, d_dis_loss: 1.4425, attack_loss: 0.0295, label_acc: 0.9277
[4799]: fg_loss: 0.1625, e_total_loss: 1.3609, e_dis_loss: 0.3292, d_total_loss: 0.0264, d_dis_loss: 1.4282, attack_loss: 0.0304, label_acc: 0.9284
[4899]: fg_loss: 0.1688, e_total_loss: 1.3344, e_dis_loss: 0.3531, d_total_loss: 0.0265, d_dis_loss: 1.4459, attack_loss: 0.0302, label_acc: 0.9267
