Start usl/plainnet experiments on cifar10 at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.1, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.8437, e_total_loss: 2.1979, e_dis_loss: 1.3345, d_total_loss: 0.0564, d_dis_loss: 1.5146, attack_loss: 0.0770, label_acc: 0.0530
[199]: fg_loss: 1.5486, e_total_loss: 2.0491, e_dis_loss: 1.3265, d_total_loss: 0.0551, d_dis_loss: 1.4364, attack_loss: 0.0810, label_acc: 0.0221
[299]: fg_loss: 1.4162, e_total_loss: 1.9972, e_dis_loss: 1.2748, d_total_loss: 0.0540, d_dis_loss: 1.4077, attack_loss: 0.0780, label_acc: 0.0190
[399]: fg_loss: 1.2845, e_total_loss: 1.9545, e_dis_loss: 1.3030, d_total_loss: 0.0535, d_dis_loss: 1.4254, attack_loss: 0.0806, label_acc: 0.0141
[499]: fg_loss: 1.2227, e_total_loss: 1.9195, e_dis_loss: 0.9729, d_total_loss: 0.0536, d_dis_loss: 1.4703, attack_loss: 0.0797, label_acc: 0.0125
[599]: fg_loss: 1.1278, e_total_loss: 1.8941, e_dis_loss: 0.9016, d_total_loss: 0.0518, d_dis_loss: 1.4669, attack_loss: 0.0844, label_acc: 0.0105
[699]: fg_loss: 1.0795, e_total_loss: 1.8848, e_dis_loss: 0.8084, d_total_loss: 0.0527, d_dis_loss: 1.4129, attack_loss: 0.0890, label_acc: 0.0112
[799]: fg_loss: 1.0030, e_total_loss: 1.8763, e_dis_loss: 0.7728, d_total_loss: 0.0522, d_dis_loss: 1.3945, attack_loss: 0.0834, label_acc: 0.0116
[899]: fg_loss: 0.9484, e_total_loss: 1.8259, e_dis_loss: 0.5848, d_total_loss: 0.0528, d_dis_loss: 1.4096, attack_loss: 0.0805, label_acc: 0.0116
[999]: fg_loss: 0.9211, e_total_loss: 1.7808, e_dis_loss: 0.4589, d_total_loss: 0.0504, d_dis_loss: 1.4161, attack_loss: 0.0859, label_acc: 0.0112
[1099]: fg_loss: 0.8464, e_total_loss: 1.7591, e_dis_loss: 0.5016, d_total_loss: 0.0518, d_dis_loss: 1.4066, attack_loss: 0.0851, label_acc: 0.0120
[1199]: fg_loss: 0.8308, e_total_loss: 1.7413, e_dis_loss: 0.3810, d_total_loss: 0.0515, d_dis_loss: 1.4376, attack_loss: 0.0828, label_acc: 0.0126
[1299]: fg_loss: 0.7917, e_total_loss: 1.7427, e_dis_loss: 0.3138, d_total_loss: 0.0519, d_dis_loss: 1.4739, attack_loss: 0.0831, label_acc: 0.0127
[1399]: fg_loss: 0.7530, e_total_loss: 1.7073, e_dis_loss: 0.4102, d_total_loss: 0.0517, d_dis_loss: 1.3600, attack_loss: 0.0809, label_acc: 0.0112
[1499]: fg_loss: 0.7269, e_total_loss: 1.7020, e_dis_loss: 0.2945, d_total_loss: 0.0518, d_dis_loss: 1.3960, attack_loss: 0.0855, label_acc: 0.0094
[1599]: fg_loss: 0.6671, e_total_loss: 1.6700, e_dis_loss: 0.3187, d_total_loss: 0.0519, d_dis_loss: 1.4158, attack_loss: 0.0856, label_acc: 0.0100
[1699]: fg_loss: 0.6797, e_total_loss: 1.6920, e_dis_loss: 0.2295, d_total_loss: 0.0512, d_dis_loss: 1.4108, attack_loss: 0.0849, label_acc: 0.0105
[1799]: fg_loss: 0.6200, e_total_loss: 1.7192, e_dis_loss: 0.3529, d_total_loss: 0.0516, d_dis_loss: 1.3535, attack_loss: 0.0856, label_acc: 0.0116
[1899]: fg_loss: 0.6107, e_total_loss: 1.7597, e_dis_loss: 0.3906, d_total_loss: 0.0516, d_dis_loss: 1.3899, attack_loss: 0.0853, label_acc: 0.0100
[1999]: fg_loss: 0.5815, e_total_loss: 1.7115, e_dis_loss: 0.3396, d_total_loss: 0.0520, d_dis_loss: 1.3868, attack_loss: 0.0857, label_acc: 0.0162
[2099]: fg_loss: 0.5645, e_total_loss: 1.6938, e_dis_loss: 0.3036, d_total_loss: 0.0510, d_dis_loss: 1.4208, attack_loss: 0.0848, label_acc: 0.0097
[2199]: fg_loss: 0.5504, e_total_loss: 1.6933, e_dis_loss: 0.2791, d_total_loss: 0.0516, d_dis_loss: 1.3841, attack_loss: 0.0819, label_acc: 0.0107
[2299]: fg_loss: 0.5095, e_total_loss: 1.6659, e_dis_loss: 0.2222, d_total_loss: 0.0517, d_dis_loss: 1.4470, attack_loss: 0.0857, label_acc: 0.0120
[2399]: fg_loss: 0.4988, e_total_loss: 1.6951, e_dis_loss: 0.2178, d_total_loss: 0.0520, d_dis_loss: 1.3701, attack_loss: 0.0838, label_acc: 0.0071
[2499]: fg_loss: 0.4490, e_total_loss: 1.6927, e_dis_loss: 0.2424, d_total_loss: 0.0519, d_dis_loss: 1.4919, attack_loss: 0.0839, label_acc: 0.0105
[2599]: fg_loss: 0.4484, e_total_loss: 1.7007, e_dis_loss: 0.2815, d_total_loss: 0.0536, d_dis_loss: 1.3636, attack_loss: 0.0840, label_acc: 0.0091
[2699]: fg_loss: 0.4361, e_total_loss: 1.6413, e_dis_loss: 0.1833, d_total_loss: 0.0535, d_dis_loss: 1.4105, attack_loss: 0.0833, label_acc: 0.0103
[2799]: fg_loss: 0.4103, e_total_loss: 1.6555, e_dis_loss: 0.2271, d_total_loss: 0.0519, d_dis_loss: 1.3683, attack_loss: 0.0845, label_acc: 0.0073
[2899]: fg_loss: 0.4050, e_total_loss: 1.7168, e_dis_loss: 0.1875, d_total_loss: 0.0509, d_dis_loss: 1.3676, attack_loss: 0.0874, label_acc: 0.0064
[2999]: fg_loss: 0.3884, e_total_loss: 1.6284, e_dis_loss: 0.1581, d_total_loss: 0.0519, d_dis_loss: 1.3290, attack_loss: 0.0896, label_acc: 0.0055
[3099]: fg_loss: 0.3553, e_total_loss: 1.6491, e_dis_loss: 0.1596, d_total_loss: 0.0512, d_dis_loss: 1.3455, attack_loss: 0.0852, label_acc: 0.0042
[3199]: fg_loss: 0.3542, e_total_loss: 1.6577, e_dis_loss: 0.1897, d_total_loss: 0.0519, d_dis_loss: 1.3528, attack_loss: 0.0832, label_acc: 0.0068
[3299]: fg_loss: 0.3362, e_total_loss: 1.6661, e_dis_loss: 0.1413, d_total_loss: 0.0522, d_dis_loss: 1.3637, attack_loss: 0.0858, label_acc: 0.0036
