Start experiments on cifar10 at level=6 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.2}
Start running.
[99]: fg_loss: 1.7307, e_total_loss: 2.2598, e_dis_loss: 0.4929, d_total_loss: 0.0302, d_dis_loss: 1.5127, attack_loss: 0.0850, label_acc: 0.0648
[199]: fg_loss: 1.3857, e_total_loss: 2.0481, e_dis_loss: 0.3747, d_total_loss: 0.0276, d_dis_loss: 1.5358, attack_loss: 0.0746, label_acc: 0.0786
[299]: fg_loss: 1.2279, e_total_loss: 1.9938, e_dis_loss: 0.6720, d_total_loss: 0.0334, d_dis_loss: 1.4911, attack_loss: 0.0770, label_acc: 0.1105
[399]: fg_loss: 1.0868, e_total_loss: 1.9613, e_dis_loss: 0.6108, d_total_loss: 0.0318, d_dis_loss: 1.5058, attack_loss: 0.0790, label_acc: 0.1336
[499]: fg_loss: 1.0148, e_total_loss: 1.8903, e_dis_loss: 0.6298, d_total_loss: 0.0324, d_dis_loss: 1.4909, attack_loss: 0.0788, label_acc: 0.1552
[599]: fg_loss: 0.9285, e_total_loss: 1.8614, e_dis_loss: 0.6446, d_total_loss: 0.0294, d_dis_loss: 1.4811, attack_loss: 0.0841, label_acc: 0.1677
[699]: fg_loss: 0.8701, e_total_loss: 1.8322, e_dis_loss: 0.7061, d_total_loss: 0.0298, d_dis_loss: 1.5151, attack_loss: 0.0841, label_acc: 0.1988
[799]: fg_loss: 0.8130, e_total_loss: 1.8071, e_dis_loss: 0.6166, d_total_loss: 0.0284, d_dis_loss: 1.5201, attack_loss: 0.0832, label_acc: 0.2215
[899]: fg_loss: 0.7501, e_total_loss: 1.7556, e_dis_loss: 0.6732, d_total_loss: 0.0272, d_dis_loss: 1.4963, attack_loss: 0.0891, label_acc: 0.2415
[999]: fg_loss: 0.7203, e_total_loss: 1.7703, e_dis_loss: 0.5300, d_total_loss: 0.0278, d_dis_loss: 1.5947, attack_loss: 0.0885, label_acc: 0.2684
[1099]: fg_loss: 0.6461, e_total_loss: 1.7528, e_dis_loss: 0.5095, d_total_loss: 0.0272, d_dis_loss: 1.5202, attack_loss: 0.0899, label_acc: 0.2809
[1199]: fg_loss: 0.6270, e_total_loss: 1.7098, e_dis_loss: 0.4429, d_total_loss: 0.0263, d_dis_loss: 1.5078, attack_loss: 0.0839, label_acc: 0.3024
[1299]: fg_loss: 0.6050, e_total_loss: 1.7104, e_dis_loss: 0.4395, d_total_loss: 0.0276, d_dis_loss: 1.5234, attack_loss: 0.0861, label_acc: 0.2888
[1399]: fg_loss: 0.5644, e_total_loss: 1.6923, e_dis_loss: 0.4579, d_total_loss: 0.0278, d_dis_loss: 1.4947, attack_loss: 0.0844, label_acc: 0.3212
[1499]: fg_loss: 0.5398, e_total_loss: 1.6913, e_dis_loss: 0.4665, d_total_loss: 0.0299, d_dis_loss: 1.5123, attack_loss: 0.0862, label_acc: 0.3313
[1599]: fg_loss: 0.4894, e_total_loss: 1.6573, e_dis_loss: 0.3896, d_total_loss: 0.0281, d_dis_loss: 1.5411, attack_loss: 0.0782, label_acc: 0.3726
[1699]: fg_loss: 0.4914, e_total_loss: 1.6870, e_dis_loss: 0.4364, d_total_loss: 0.0264, d_dis_loss: 1.4861, attack_loss: 0.0828, label_acc: 0.3784
[1799]: fg_loss: 0.4311, e_total_loss: 1.6654, e_dis_loss: 0.3151, d_total_loss: 0.0265, d_dis_loss: 1.4612, attack_loss: 0.0777, label_acc: 0.4016
[1899]: fg_loss: 0.4137, e_total_loss: 1.6441, e_dis_loss: 0.3559, d_total_loss: 0.0264, d_dis_loss: 1.5233, attack_loss: 0.0784, label_acc: 0.4370
[1999]: fg_loss: 0.3943, e_total_loss: 1.6371, e_dis_loss: 0.3651, d_total_loss: 0.0254, d_dis_loss: 1.4663, attack_loss: 0.0812, label_acc: 0.4419
[2099]: fg_loss: 0.3781, e_total_loss: 1.6118, e_dis_loss: 0.3141, d_total_loss: 0.0258, d_dis_loss: 1.5273, attack_loss: 0.0766, label_acc: 0.4955
[2199]: fg_loss: 0.3468, e_total_loss: 1.6344, e_dis_loss: 0.3081, d_total_loss: 0.0247, d_dis_loss: 1.4811, attack_loss: 0.0797, label_acc: 0.5129
[2299]: fg_loss: 0.3156, e_total_loss: 1.6067, e_dis_loss: 0.3197, d_total_loss: 0.0244, d_dis_loss: 1.4897, attack_loss: 0.0764, label_acc: 0.5652
[2399]: fg_loss: 0.3038, e_total_loss: 1.6297, e_dis_loss: 0.2995, d_total_loss: 0.0252, d_dis_loss: 1.4998, attack_loss: 0.0777, label_acc: 0.5763
[2499]: fg_loss: 0.2707, e_total_loss: 1.6123, e_dis_loss: 0.3619, d_total_loss: 0.0249, d_dis_loss: 1.4750, attack_loss: 0.0786, label_acc: 0.6274
[2599]: fg_loss: 0.2608, e_total_loss: 1.6029, e_dis_loss: 0.3185, d_total_loss: 0.0244, d_dis_loss: 1.5121, attack_loss: 0.0683, label_acc: 0.6229
[2699]: fg_loss: 0.2473, e_total_loss: 1.6115, e_dis_loss: 0.3258, d_total_loss: 0.0233, d_dis_loss: 1.4706, attack_loss: 0.0757, label_acc: 0.6341
[2799]: fg_loss: 0.2282, e_total_loss: 1.5815, e_dis_loss: 0.2629, d_total_loss: 0.0244, d_dis_loss: 1.4896, attack_loss: 0.0683, label_acc: 0.6323
[2899]: fg_loss: 0.2320, e_total_loss: 1.5842, e_dis_loss: 0.2994, d_total_loss: 0.0226, d_dis_loss: 1.5281, attack_loss: 0.0694, label_acc: 0.6355
[2999]: fg_loss: 0.2012, e_total_loss: 1.5676, e_dis_loss: 0.2911, d_total_loss: 0.0248, d_dis_loss: 1.5101, attack_loss: 0.0683, label_acc: 0.6630
[3099]: fg_loss: 0.1946, e_total_loss: 1.5819, e_dis_loss: 0.3128, d_total_loss: 0.0246, d_dis_loss: 1.5020, attack_loss: 0.0643, label_acc: 0.6578
[3199]: fg_loss: 0.1857, e_total_loss: 1.5428, e_dis_loss: 0.3113, d_total_loss: 0.0242, d_dis_loss: 1.5032, attack_loss: 0.0680, label_acc: 0.6814
[3299]: fg_loss: 0.1652, e_total_loss: 1.5770, e_dis_loss: 0.2904, d_total_loss: 0.0233, d_dis_loss: 1.5318, attack_loss: 0.0549, label_acc: 0.7176
[3399]: fg_loss: 0.1579, e_total_loss: 1.5485, e_dis_loss: 0.3547, d_total_loss: 0.0227, d_dis_loss: 1.4777, attack_loss: 0.0559, label_acc: 0.7891
[3499]: fg_loss: 0.1482, e_total_loss: 1.5391, e_dis_loss: 0.3681, d_total_loss: 0.0228, d_dis_loss: 1.5361, attack_loss: 0.0462, label_acc: 0.8540
[3599]: fg_loss: 0.1473, e_total_loss: 1.5451, e_dis_loss: 0.3666, d_total_loss: 0.0233, d_dis_loss: 1.5033, attack_loss: 0.0480, label_acc: 0.8723
[3699]: fg_loss: 0.1364, e_total_loss: 1.5248, e_dis_loss: 0.3411, d_total_loss: 0.0229, d_dis_loss: 1.5016, attack_loss: 0.0426, label_acc: 0.8862
[3799]: fg_loss: 0.1286, e_total_loss: 1.5225, e_dis_loss: 0.3843, d_total_loss: 0.0219, d_dis_loss: 1.5564, attack_loss: 0.0430, label_acc: 0.8988
[3899]: fg_loss: 0.1194, e_total_loss: 1.5275, e_dis_loss: 0.4069, d_total_loss: 0.0218, d_dis_loss: 1.5067, attack_loss: 0.0453, label_acc: 0.9118
[3999]: fg_loss: 0.1290, e_total_loss: 1.5173, e_dis_loss: 0.4170, d_total_loss: 0.0214, d_dis_loss: 1.5209, attack_loss: 0.0434, label_acc: 0.9038
[4099]: fg_loss: 0.1126, e_total_loss: 1.4818, e_dis_loss: 0.3789, d_total_loss: 0.0222, d_dis_loss: 1.4610, attack_loss: 0.0496, label_acc: 0.9298
[4199]: fg_loss: 0.1068, e_total_loss: 1.4756, e_dis_loss: 0.3372, d_total_loss: 0.0213, d_dis_loss: 1.5163, attack_loss: 0.0424, label_acc: 0.9328
[4299]: fg_loss: 0.1120, e_total_loss: 1.4945, e_dis_loss: 0.3447, d_total_loss: 0.0211, d_dis_loss: 1.5064, attack_loss: 0.0419, label_acc: 0.9263
[4399]: fg_loss: 0.1100, e_total_loss: 1.4718, e_dis_loss: 0.2826, d_total_loss: 0.0193, d_dis_loss: 1.4966, attack_loss: 0.0405, label_acc: 0.9355
[4499]: fg_loss: 0.1077, e_total_loss: 1.4783, e_dis_loss: 0.3328, d_total_loss: 0.0198, d_dis_loss: 1.5116, attack_loss: 0.0372, label_acc: 0.9340
[4599]: fg_loss: 0.0904, e_total_loss: 1.4796, e_dis_loss: 0.3615, d_total_loss: 0.0196, d_dis_loss: 1.4661, attack_loss: 0.0422, label_acc: 0.9405
[4699]: fg_loss: 0.0922, e_total_loss: 1.4696, e_dis_loss: 0.2821, d_total_loss: 0.0203, d_dis_loss: 1.4690, attack_loss: 0.0386, label_acc: 0.9397
[4799]: fg_loss: 0.0936, e_total_loss: 1.4809, e_dis_loss: 0.3103, d_total_loss: 0.0195, d_dis_loss: 1.5187, attack_loss: 0.0372, label_acc: 0.9370
[4899]: fg_loss: 0.0941, e_total_loss: 1.4549, e_dis_loss: 0.3329, d_total_loss: 0.0188, d_dis_loss: 1.4996, attack_loss: 0.0364, label_acc: 0.9435
[4999]: fg_loss: 0.0994, e_total_loss: 1.4772, e_dis_loss: 0.3838, d_total_loss: 0.0194, d_dis_loss: 1.5070, attack_loss: 0.0358, label_acc: 0.9337
[5099]: fg_loss: 0.0792, e_total_loss: 1.4519, e_dis_loss: 0.3496, d_total_loss: 0.0184, d_dis_loss: 1.4751, attack_loss: 0.0359, label_acc: 0.9460
[5199]: fg_loss: 0.0878, e_total_loss: 1.4730, e_dis_loss: 0.4280, d_total_loss: 0.0197, d_dis_loss: 1.5112, attack_loss: 0.0349, label_acc: 0.9341
[5299]: fg_loss: 0.0785, e_total_loss: 1.4833, e_dis_loss: 0.3867, d_total_loss: 0.0204, d_dis_loss: 1.5007, attack_loss: 0.0347, label_acc: 0.9521
