Start usl/plainnet experiments on stl10 at l5 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.4, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.8473, e_total_loss: 2.3918, e_dis_loss: 0.8924, d_total_loss: 0.0558, d_dis_loss: 1.4712, attack_loss: 0.0851, label_acc: 0.0994
[199]: fg_loss: 1.6615, e_total_loss: 2.3230, e_dis_loss: 0.7564, d_total_loss: 0.0469, d_dis_loss: 1.4308, attack_loss: 0.0636, label_acc: 0.2078
[299]: fg_loss: 1.6117, e_total_loss: 2.2985, e_dis_loss: 0.7168, d_total_loss: 0.0367, d_dis_loss: 1.4483, attack_loss: 0.0590, label_acc: 0.2600
[399]: fg_loss: 1.5704, e_total_loss: 2.3198, e_dis_loss: 0.6337, d_total_loss: 0.0452, d_dis_loss: 1.4932, attack_loss: 0.0632, label_acc: 0.2597
[499]: fg_loss: 1.5175, e_total_loss: 2.2764, e_dis_loss: 0.6377, d_total_loss: 0.0454, d_dis_loss: 1.4441, attack_loss: 0.0598, label_acc: 0.2844
[599]: fg_loss: 1.4797, e_total_loss: 2.2744, e_dis_loss: 0.6515, d_total_loss: 0.0419, d_dis_loss: 1.4784, attack_loss: 0.0655, label_acc: 0.3159
[699]: fg_loss: 1.4215, e_total_loss: 2.2678, e_dis_loss: 0.5288, d_total_loss: 0.0440, d_dis_loss: 1.4713, attack_loss: 0.0641, label_acc: 0.3516
[799]: fg_loss: 1.4101, e_total_loss: 2.3167, e_dis_loss: 0.3491, d_total_loss: 0.0485, d_dis_loss: 1.4838, attack_loss: 0.0632, label_acc: 0.3469
[899]: fg_loss: 1.2990, e_total_loss: 2.2840, e_dis_loss: 0.4317, d_total_loss: 0.0444, d_dis_loss: 1.4396, attack_loss: 0.0628, label_acc: 0.3831
[999]: fg_loss: 1.3250, e_total_loss: 2.2951, e_dis_loss: 0.3349, d_total_loss: 0.0417, d_dis_loss: 1.4754, attack_loss: 0.0560, label_acc: 0.3759
[1099]: fg_loss: 1.2238, e_total_loss: 2.2623, e_dis_loss: 0.4065, d_total_loss: 0.0413, d_dis_loss: 1.4602, attack_loss: 0.0629, label_acc: 0.4322
[1199]: fg_loss: 1.2325, e_total_loss: 2.2391, e_dis_loss: 0.6743, d_total_loss: 0.0511, d_dis_loss: 1.4793, attack_loss: 0.0569, label_acc: 0.4241
[1299]: fg_loss: 1.1639, e_total_loss: 2.2667, e_dis_loss: 0.3996, d_total_loss: 0.0457, d_dis_loss: 1.4456, attack_loss: 0.0622, label_acc: 0.4472
[1399]: fg_loss: 1.1653, e_total_loss: 2.2244, e_dis_loss: 0.4618, d_total_loss: 0.0410, d_dis_loss: 1.4813, attack_loss: 0.0571, label_acc: 0.4797
[1499]: fg_loss: 1.0976, e_total_loss: 2.2364, e_dis_loss: 0.3867, d_total_loss: 0.0472, d_dis_loss: 1.4600, attack_loss: 0.0525, label_acc: 0.4900
[1599]: fg_loss: 1.1164, e_total_loss: 2.2601, e_dis_loss: 0.4588, d_total_loss: 0.0460, d_dis_loss: 1.4810, attack_loss: 0.0550, label_acc: 0.4953
[1699]: fg_loss: 1.0630, e_total_loss: 2.2152, e_dis_loss: 0.4720, d_total_loss: 0.0507, d_dis_loss: 1.4691, attack_loss: 0.0577, label_acc: 0.5103
[1799]: fg_loss: 1.0541, e_total_loss: 2.1994, e_dis_loss: 0.4458, d_total_loss: 0.0399, d_dis_loss: 1.4772, attack_loss: 0.0601, label_acc: 0.5309
[1899]: fg_loss: 1.0077, e_total_loss: 2.2108, e_dis_loss: 0.4087, d_total_loss: 0.0386, d_dis_loss: 1.4481, attack_loss: 0.0581, label_acc: 0.5463
[1999]: fg_loss: 0.9936, e_total_loss: 2.2079, e_dis_loss: 0.3617, d_total_loss: 0.0395, d_dis_loss: 1.4903, attack_loss: 0.0606, label_acc: 0.5547
