Start usl/resnet experiments on stl10 at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.2, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.8507, e_total_loss: 2.2823, e_dis_loss: 0.4392, d_total_loss: 0.0441, d_dis_loss: 1.5457, attack_loss: 0.1070, label_acc: 0.0391
[199]: fg_loss: 1.6128, e_total_loss: 2.2232, e_dis_loss: 0.1385, d_total_loss: 0.0325, d_dis_loss: 1.4958, attack_loss: 0.0850, label_acc: 0.1316
[299]: fg_loss: 1.5287, e_total_loss: 2.2034, e_dis_loss: 0.1998, d_total_loss: 0.0385, d_dis_loss: 1.5225, attack_loss: 0.0696, label_acc: 0.1787
[399]: fg_loss: 1.4508, e_total_loss: 2.1888, e_dis_loss: 0.2584, d_total_loss: 0.0382, d_dis_loss: 1.5229, attack_loss: 0.0651, label_acc: 0.2222
[499]: fg_loss: 1.3611, e_total_loss: 2.2284, e_dis_loss: 0.2819, d_total_loss: 0.0402, d_dis_loss: 1.5484, attack_loss: 0.0627, label_acc: 0.2603
[599]: fg_loss: 1.3096, e_total_loss: 2.1630, e_dis_loss: 0.3893, d_total_loss: 0.0367, d_dis_loss: 1.5451, attack_loss: 0.0545, label_acc: 0.2725
[699]: fg_loss: 1.2171, e_total_loss: 2.1499, e_dis_loss: 0.4159, d_total_loss: 0.0374, d_dis_loss: 1.5134, attack_loss: 0.0557, label_acc: 0.2916
[799]: fg_loss: 1.2148, e_total_loss: 2.1138, e_dis_loss: 0.5111, d_total_loss: 0.0376, d_dis_loss: 1.5147, attack_loss: 0.0537, label_acc: 0.3453
[899]: fg_loss: 1.1192, e_total_loss: 2.1232, e_dis_loss: 0.6194, d_total_loss: 0.0408, d_dis_loss: 1.5057, attack_loss: 0.0536, label_acc: 0.3453
[999]: fg_loss: 1.1084, e_total_loss: 2.0963, e_dis_loss: 0.5369, d_total_loss: 0.0382, d_dis_loss: 1.4948, attack_loss: 0.0499, label_acc: 0.3734
[1099]: fg_loss: 1.0653, e_total_loss: 2.0880, e_dis_loss: 0.5366, d_total_loss: 0.0360, d_dis_loss: 1.5106, attack_loss: 0.0503, label_acc: 0.4147
