Start usl/plainnet experiments on tinyimagenet at l6 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.4, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 5.2556, e_total_loss: 5.3613, e_dis_loss: 1.1854, d_total_loss: 0.0613, d_dis_loss: 1.5163, attack_loss: 0.0984, label_acc: 0.0040
[199]: fg_loss: 5.0595, e_total_loss: 5.3845, e_dis_loss: 0.6104, d_total_loss: 0.0681, d_dis_loss: 1.5724, attack_loss: 0.0804, label_acc: 0.0072
[299]: fg_loss: 4.8709, e_total_loss: 5.4183, e_dis_loss: 0.2672, d_total_loss: 0.0629, d_dis_loss: 1.5293, attack_loss: 0.0758, label_acc: 0.0093
[399]: fg_loss: 4.7308, e_total_loss: 5.4150, e_dis_loss: 0.1936, d_total_loss: 0.0658, d_dis_loss: 1.5272, attack_loss: 0.0746, label_acc: 0.0116
[499]: fg_loss: 4.6076, e_total_loss: 5.4246, e_dis_loss: 0.2002, d_total_loss: 0.0578, d_dis_loss: 1.5305, attack_loss: 0.0795, label_acc: 0.0126
[599]: fg_loss: 4.5004, e_total_loss: 5.4307, e_dis_loss: 0.2516, d_total_loss: 0.0529, d_dis_loss: 1.5309, attack_loss: 0.0880, label_acc: 0.0199
[699]: fg_loss: 4.4103, e_total_loss: 5.4402, e_dis_loss: 0.2064, d_total_loss: 0.0522, d_dis_loss: 1.5363, attack_loss: 0.0902, label_acc: 0.0180
[799]: fg_loss: 4.3453, e_total_loss: 5.4428, e_dis_loss: 0.2130, d_total_loss: 0.0586, d_dis_loss: 1.5520, attack_loss: 0.0877, label_acc: 0.0191
[899]: fg_loss: 4.2946, e_total_loss: 5.4332, e_dis_loss: 0.2243, d_total_loss: 0.0550, d_dis_loss: 1.5419, attack_loss: 0.0856, label_acc: 0.0196
[999]: fg_loss: 4.2338, e_total_loss: 5.4216, e_dis_loss: 0.2463, d_total_loss: 0.0649, d_dis_loss: 1.5590, attack_loss: 0.0761, label_acc: 0.0256
[1099]: fg_loss: 4.1650, e_total_loss: 5.4272, e_dis_loss: 0.1518, d_total_loss: 0.0596, d_dis_loss: 1.5272, attack_loss: 0.0874, label_acc: 0.0273
[1199]: fg_loss: 4.1425, e_total_loss: 5.4248, e_dis_loss: 0.2084, d_total_loss: 0.0530, d_dis_loss: 1.5142, attack_loss: 0.0879, label_acc: 0.0334
[1299]: fg_loss: 4.0934, e_total_loss: 5.4575, e_dis_loss: 0.2620, d_total_loss: 0.0514, d_dis_loss: 1.5086, attack_loss: 0.0828, label_acc: 0.0368
[1399]: fg_loss: 4.0447, e_total_loss: 5.4170, e_dis_loss: 0.2906, d_total_loss: 0.0633, d_dis_loss: 1.5345, attack_loss: 0.0797, label_acc: 0.0353
[1499]: fg_loss: 4.0042, e_total_loss: 5.4201, e_dis_loss: 0.4027, d_total_loss: 0.0569, d_dis_loss: 1.5084, attack_loss: 0.0860, label_acc: 0.0389
[1599]: fg_loss: 3.9489, e_total_loss: 5.4255, e_dis_loss: 0.2468, d_total_loss: 0.0643, d_dis_loss: 1.5319, attack_loss: 0.0792, label_acc: 0.0343
[1699]: fg_loss: 3.9297, e_total_loss: 5.4364, e_dis_loss: 0.3564, d_total_loss: 0.0687, d_dis_loss: 1.5107, attack_loss: 0.0735, label_acc: 0.0402
[1799]: fg_loss: 3.8868, e_total_loss: 5.4300, e_dis_loss: 0.2769, d_total_loss: 0.0594, d_dis_loss: 1.5264, attack_loss: 0.0743, label_acc: 0.0391
