Start experiments on tinyimagenet at level=3 with {'e_lr': 0.001, 'e_dis_lr': 4e-05, 'lambda1': 0.04, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.2}
Start running.
[99]: fg_loss: 5.2782, e_total_loss: 5.4124, e_dis_loss: 0.7484, d_total_loss: 0.0517, d_dis_loss: 1.5262, attack_loss: 0.0718, label_acc: 0.0061
[199]: fg_loss: 4.9776, e_total_loss: 5.4547, e_dis_loss: 0.7537, d_total_loss: 0.0336, d_dis_loss: 1.5059, attack_loss: 0.0691, label_acc: 0.0077
[299]: fg_loss: 4.6846, e_total_loss: 5.4471, e_dis_loss: 0.5407, d_total_loss: 0.0394, d_dis_loss: 1.5261, attack_loss: 0.0689, label_acc: 0.0082
[399]: fg_loss: 4.5362, e_total_loss: 5.4258, e_dis_loss: 0.5194, d_total_loss: 0.0283, d_dis_loss: 1.5013, attack_loss: 0.0597, label_acc: 0.0126
[499]: fg_loss: 4.3712, e_total_loss: 5.3797, e_dis_loss: 0.4447, d_total_loss: 0.0280, d_dis_loss: 1.4619, attack_loss: 0.0733, label_acc: 0.0122
[599]: fg_loss: 4.2689, e_total_loss: 5.2853, e_dis_loss: 0.3982, d_total_loss: 0.0272, d_dis_loss: 1.5160, attack_loss: 0.0669, label_acc: 0.0209
[699]: fg_loss: 4.1684, e_total_loss: 5.2159, e_dis_loss: 0.2721, d_total_loss: 0.0268, d_dis_loss: 1.5331, attack_loss: 0.0722, label_acc: 0.0243
[799]: fg_loss: 4.1207, e_total_loss: 5.1646, e_dis_loss: 0.3881, d_total_loss: 0.0301, d_dis_loss: 1.5024, attack_loss: 0.0645, label_acc: 0.0357
[899]: fg_loss: 4.0401, e_total_loss: 5.1330, e_dis_loss: 0.2706, d_total_loss: 0.0347, d_dis_loss: 1.5100, attack_loss: 0.0590, label_acc: 0.0435
[999]: fg_loss: 3.9854, e_total_loss: 5.0692, e_dis_loss: 0.3356, d_total_loss: 0.0296, d_dis_loss: 1.5290, attack_loss: 0.0517, label_acc: 0.0542
[1099]: fg_loss: 3.9143, e_total_loss: 5.0736, e_dis_loss: 0.2626, d_total_loss: 0.0213, d_dis_loss: 1.5320, attack_loss: 0.0506, label_acc: 0.0559
[1199]: fg_loss: 3.8659, e_total_loss: 5.0133, e_dis_loss: 0.2071, d_total_loss: 0.0225, d_dis_loss: 1.5203, attack_loss: 0.0543, label_acc: 0.0715
[1299]: fg_loss: 3.8213, e_total_loss: 4.9616, e_dis_loss: 0.2035, d_total_loss: 0.0293, d_dis_loss: 1.5532, attack_loss: 0.0543, label_acc: 0.0722
